"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","1979",1832.08,
"AUS","HRWKD","TOT","HR_WKD","A","1980",1830.3,
"AUS","HRWKD","TOT","HR_WKD","A","1981",1816.26,
"AUS","HRWKD","TOT","HR_WKD","A","1982",1792.05,
"AUS","HRWKD","TOT","HR_WKD","A","1983",1778.37,
"AUS","HRWKD","TOT","HR_WKD","A","1984",1800.57,
"AUS","HRWKD","TOT","HR_WKD","A","1985",1792.94,
"AUS","HRWKD","TOT","HR_WKD","A","1986",1797.23,
"AUS","HRWKD","TOT","HR_WKD","A","1987",1794.89,
"AUS","HRWKD","TOT","HR_WKD","A","1988",1793.04,
"AUS","HRWKD","TOT","HR_WKD","A","1989",1806.19,
"AUS","HRWKD","TOT","HR_WKD","A","1990",1788.28,
"AUS","HRWKD","TOT","HR_WKD","A","1991",1773.5,
"AUS","HRWKD","TOT","HR_WKD","A","1992",1772.44,
"AUS","HRWKD","TOT","HR_WKD","A","1993",1790.94,
"AUS","HRWKD","TOT","HR_WKD","A","1994",1799.62,
"AUS","HRWKD","TOT","HR_WKD","A","1995",1798.92,
"AUS","HRWKD","TOT","HR_WKD","A","1996",1792.1,
"AUS","HRWKD","TOT","HR_WKD","A","1997",1790.49,
"AUS","HRWKD","TOT","HR_WKD","A","1998",1776.63,
"AUS","HRWKD","TOT","HR_WKD","A","1999",1781.45,
"AUS","HRWKD","TOT","HR_WKD","A","2000",1779.63,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1746.37,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1741.82,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1735.1,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1733.74,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1732.26,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1721.66,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1722.64,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1720.88,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1692.33,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1699.94,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1699.92,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1692.55,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1689.38,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1683.27,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1683.55,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1673.4,
"AUS","HRWKD","TOT","HR_WKD","A","2017",1674.9,
"AUS","HRWKD","TOT","HR_WKD","A","2018",1665.04,
"AUT","HRWKD","TOT","HR_WKD","A","1995",1658,
"AUT","HRWKD","TOT","HR_WKD","A","1996",1689,
"AUT","HRWKD","TOT","HR_WKD","A","1997",1697,
"AUT","HRWKD","TOT","HR_WKD","A","1998",1677,
"AUT","HRWKD","TOT","HR_WKD","A","1999",1680,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1681,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1669,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1666,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1658,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1660,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1638,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1622,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1612,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1605,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1564,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1557,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1562,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1540,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1525,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1516,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1500,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1512,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1511,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1511,
"BEL","HRWKD","TOT","HR_WKD","A","1970",1883.16,
"BEL","HRWKD","TOT","HR_WKD","A","1971",1873.42,
"BEL","HRWKD","TOT","HR_WKD","A","1972",1847.49,
"BEL","HRWKD","TOT","HR_WKD","A","1973",1820.08,
"BEL","HRWKD","TOT","HR_WKD","A","1974",1791.9,
"BEL","HRWKD","TOT","HR_WKD","A","1975",1782.67,
"BEL","HRWKD","TOT","HR_WKD","A","1976",1785.45,
"BEL","HRWKD","TOT","HR_WKD","A","1977",1759.77,
"BEL","HRWKD","TOT","HR_WKD","A","1978",1742.99,
"BEL","HRWKD","TOT","HR_WKD","A","1979",1726.57,
"BEL","HRWKD","TOT","HR_WKD","A","1980",1706.53,
"BEL","HRWKD","TOT","HR_WKD","A","1981",1683.39,
"BEL","HRWKD","TOT","HR_WKD","A","1982",1668.97,
"BEL","HRWKD","TOT","HR_WKD","A","1983",1674.93,
"BEL","HRWKD","TOT","HR_WKD","A","1984",1699,
"BEL","HRWKD","TOT","HR_WKD","A","1985",1705.02,
"BEL","HRWKD","TOT","HR_WKD","A","1986",1684.96,
"BEL","HRWKD","TOT","HR_WKD","A","1987",1669.92,
"BEL","HRWKD","TOT","HR_WKD","A","1988",1657.88,
"BEL","HRWKD","TOT","HR_WKD","A","1989",1648.85,
"BEL","HRWKD","TOT","HR_WKD","A","1990",1662.9,
"BEL","HRWKD","TOT","HR_WKD","A","1991",1625.79,
"BEL","HRWKD","TOT","HR_WKD","A","1992",1602.72,
"BEL","HRWKD","TOT","HR_WKD","A","1993",1558.59,
"BEL","HRWKD","TOT","HR_WKD","A","1994",1558.59,
"BEL","HRWKD","TOT","HR_WKD","A","1995",1584.67,
"BEL","HRWKD","TOT","HR_WKD","A","1996",1558.59,
"BEL","HRWKD","TOT","HR_WKD","A","1997",1571.63,
"BEL","HRWKD","TOT","HR_WKD","A","1998",1582.66,
"BEL","HRWKD","TOT","HR_WKD","A","1999",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1595,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1588,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1583,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1573,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1565,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1572,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1577,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1570,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1548,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1546,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1558,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1545,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1545,
"BEL","HRWKD","TOT","HR_WKD","A","2016",1545,
"BEL","HRWKD","TOT","HR_WKD","A","2017",1545,
"BEL","HRWKD","TOT","HR_WKD","A","2018",1545,
"CAN","HRWKD","TOT","HR_WKD","A","1961",2059,
"CAN","HRWKD","TOT","HR_WKD","A","1962",2058,
"CAN","HRWKD","TOT","HR_WKD","A","1963",2041,
"CAN","HRWKD","TOT","HR_WKD","A","1964",2033,
"CAN","HRWKD","TOT","HR_WKD","A","1965",2016,
"CAN","HRWKD","TOT","HR_WKD","A","1966",2001,
"CAN","HRWKD","TOT","HR_WKD","A","1967",1993,
"CAN","HRWKD","TOT","HR_WKD","A","1968",1958,
"CAN","HRWKD","TOT","HR_WKD","A","1969",1943,
"CAN","HRWKD","TOT","HR_WKD","A","1970",1925,
"CAN","HRWKD","TOT","HR_WKD","A","1971",1912,
"CAN","HRWKD","TOT","HR_WKD","A","1972",1904,
"CAN","HRWKD","TOT","HR_WKD","A","1973",1898,
"CAN","HRWKD","TOT","HR_WKD","A","1974",1891,
"CAN","HRWKD","TOT","HR_WKD","A","1975",1872,
"CAN","HRWKD","TOT","HR_WKD","A","1976",1862,
"CAN","HRWKD","TOT","HR_WKD","A","1977",1834,
"CAN","HRWKD","TOT","HR_WKD","A","1978",1836,
"CAN","HRWKD","TOT","HR_WKD","A","1979",1841,
"CAN","HRWKD","TOT","HR_WKD","A","1980",1827,
"CAN","HRWKD","TOT","HR_WKD","A","1981",1812,
"CAN","HRWKD","TOT","HR_WKD","A","1982",1789,
"CAN","HRWKD","TOT","HR_WKD","A","1983",1779,
"CAN","HRWKD","TOT","HR_WKD","A","1984",1789,
"CAN","HRWKD","TOT","HR_WKD","A","1985",1795,
"CAN","HRWKD","TOT","HR_WKD","A","1986",1797,
"CAN","HRWKD","TOT","HR_WKD","A","1987",1807,
"CAN","HRWKD","TOT","HR_WKD","A","1988",1808,
"CAN","HRWKD","TOT","HR_WKD","A","1989",1802,
"CAN","HRWKD","TOT","HR_WKD","A","1990",1797,
"CAN","HRWKD","TOT","HR_WKD","A","1991",1775,
"CAN","HRWKD","TOT","HR_WKD","A","1992",1772,
"CAN","HRWKD","TOT","HR_WKD","A","1993",1769,
"CAN","HRWKD","TOT","HR_WKD","A","1994",1778,
"CAN","HRWKD","TOT","HR_WKD","A","1995",1775,
"CAN","HRWKD","TOT","HR_WKD","A","1996",1790,
